handle	creator
20.500.12703/103	dha
20.500.12703/104	cbm
20.500.12703/105	hipp
20.500.12703/106	esf
20.500.12703/107	ltv
20.500.12703/108	sfak
20.500.12703/109	aqua
20.500.12703/110	afb
20.500.12703/111	bvf
20.500.12703/112	ekol
20.500.12703/113	ekon
20.500.12703/114	et
20.500.12703/115	hmh
20.500.12703/116	huv
20.500.12703/117	hgen
20.500.12703/118	kv
20.500.12703/119	mark
20.500.12703/120	molsci
20.500.12703/121	njv
20.500.12703/122	sbt
20.500.12703/123	seksko
20.500.12703/124	genfys
20.500.12703/125	mykopat
20.500.12703/126	srh
20.500.12703/127	sekon
20.500.12703/128	sol
20.500.12703/129	ess
20.500.12703/130	ma
20.500.12703/131	vfm
20.500.12703/132	vbsg
20.500.12703/133	vpe
20.500.12703/134	fask
20.500.12703/135	scaw
20.500.12703/136	sms
20.500.12703/137	bibul
20.500.12703/138	ua
20.500.12703/139	uds
20.500.12703/140	sprod
