creator	enhet
uds	106
unk	110
unk	116
ltv	120
unk	130
aqua	135
bibul	150
esf	200
sms	210
eom	220
unk	230
sprod	231
ssko	240
seksko	241
unk	250
vfm	251
srh	260
unk	270
unk	275
ma	280
ess	295
unk	298
sekon	300
unk	315
nvb	320
genfys	330
unk	340
unk	355
sml	360
lto	365
sek	370
svek	375
unk	380
mykopat	390
entom	410
ekol	415
molbio	420
molsci	425
mv	430
mark	435
vpe	440
evp	441
kemi	450
mikrob	460
vbsg	480
vbsg	481
vpe	500
ekon	510
unk	520
unk	530
njv	540
sbt	545
lmv	550
lt	560
ltul	561
et	565
tsm	566
sol	595
unk	570
lag	590
lbutv	591
jbt	600
lpal	610
lpul	621
unk	631
ltv	632
ltv	633
ltv	634
ltv	635
ltv	636
ltv	637
ltv	638
ltv	642
ltv	643
ltv	64390
ltv	644
huv	650
hgen	670
unk	660
unk	680
djfys	690
unk	711
afb	712
bvf	713
kv	715
unk	740
kirmeds	760
idmed	770
unk	790
unk	810
ah	820
unk	830
unk	850
unk	870
hmh	880
unk	882
sfak	893
nj	894
vh	895
ltv	896
cbm	910
dha	911
unk	922
unk	924
scaw	929
ua	977
unk	979
unk	987
unk	988
fask	991
